No.	Greek (Original)	Pronunciation (English-like)	English Translation	Meaning / Notes
43	Όποιος σπέρνει ανέμους θερίζει θύελλες	O-pee-os SPER-nee a-NE-mous the-REE-zee THEF-eles	He who sows winds reaps storms	Bad actions bring big troubles
44	Το μήλο κάτω από τη μηλιά θα πέσει	To MEE-lo KA-to a-po tee mee-LIA tha PE-see	The apple will fall under the apple tree	Children resemble parents
45	Η γλώσσα κόκαλα δεν έχει και κόκαλα τσακίζει	Ee GLO-sa KO-ka-la then EE-hee kai KO-ka-la tsa-KEE-zee	The tongue has no bones but breaks bones	Words can be hurtful
46	Στου κουφού την πόρτα όσο θέλεις βρόντα	Stoo koo-FOO teen POR-ta O-so THE-lees VRON-da	At the deaf man’s door, knock as much as you want	Pointless to reason with those who won’t listen
47	Μάτια που δεν βλέπονται, γρήγορα λησμονιούνται	MA-tee-a pou then VLE-pon-te GREE-go-ra lees-mo-nee-OON-te	Eyes that don’t see each other quickly forget	Absence weakens feelings
48	Η καλή σκυλίτσα κάνει τα καλά αφεντικά	Ee ka-LEE skee-LEE-tsa KA-nee ta KA-la a-fen-TEE-ka	A good dog makes good masters	People reflect the quality of companions
49	Ο χρόνος γι’ όλα τα γιατρικά	O HRO-nos yee O-la ta ya-TRI-ka	Time is a remedy for everything	Time heals all wounds
50	Λάθος που δεν επαναλαμβάνεται δεν είναι λάθος	LA-thos pou then e-pa-na-LAM-va-ne-te then EE-ne LA-thos	A mistake not repeated is not a mistake	Learning from mistakes
51	Όποιος δεν έχει μυαλό, έχει πόδια	O-pee-os then EE-he mee-a-LO EE-he PO-thia	He who has no brains has legs	Lack of sense relies on effort
52	Χώμα που το πατάς, το αίμα σου το ποτίζεις	HO-ma pou to pa-TAHS, to A-ma sou to po-TEE-zees	The soil you walk on, you water with your blood	Loyalty and care to homeland
53	Κάλλιο πέντε και στο χέρι παρά δέκα και καρτέρει	KA-lyo PEN-de kai sto KHE-ri pa-ra THE-ka kai kar-TE-ree	Better five in the hand than ten waiting	Better small sure thing than large uncertain one
54	Όπου ακούς πολλά κεράσια, κράτα μικρό καλάθι	O-pou a-KO-ees POL-la ke-RA-sia, KRA-ta mee-KRO ka-LA-thee	Where you hear many cherries, keep a small basket	Be cautious when promises sound excessive
55	Όποιος σπέρνει ανέμους, θερίζει θύελλες	O-pee-os SPER-nee a-NE-mous the-REE-zee THE-ye-les	He who sows winds, reaps storms	Bad actions bring big troubles
56	Το καλό το παλικάρι στον πόλεμο φαίνεται	To ka-LO to pa-LEE-ka-ree ston PO-le-mo fa-NE-te	A good young man is shown in war	True character revealed in challenge
57	Όποιος θέλει το καλό του, κάνει το κακό του	O-pee-os THE-lee to ka-LO tou, KAH-nee to ka-KO tou	He who wants his good does his bad	People sometimes harm themselves
58	Μια σταγόνα θάλασσα κάνει το βράχο να λειώσει	Mia sta-GO-na THA-la-ssa KA-ni to VRA-ho na lee-O-see	A drop of sea makes the rock dissolve	Persistence wears down obstacles
59	Μην τα βάζεις με τα πουλιά, αν δεν πετάς	Min ta VA-zees me ta poo-LYA, an den PE-tas	Don’t fight with birds if you can’t fly	Don’t take on fights you can’t win
60	Απ' όπου κι αν τον 'γκίσης τα χέρια σου θα χρείσης	Ap' opou ki an ton 'gkisis ta CHER-ia sou tha chre-ISIS	Wherever you may touch him you will need your hands	Some problems need hands-on effort
61	Σου πολιτεχνα το σπίτι συφορά και καταδίκη	Sou po-li-TECH-na to SPI-ti si-FO-ra kai ka-ta-DI-ki	When you build your house near the police station, you ask for trouble	Choose your environment wisely
63	Πουθι κρατάει η σκούφια τ'	Pou-thi kra-TA-i i SKOU-fi-a t'	Where the cap fits, wear it	Accept responsibility
64	Σου λείπ' μάννα, δε σου λείπ' λανγκιόλ'	Sou LEIP' MAN-na, de sou LEIP' lan-GI-ol'	You are short of a mother but not of a stepmother	Sometimes burdened by harshness
65	Δούλιυέ μι κακουρίζ'κι να μη γένου σαν κι ισένα	Dou-LEE-e mi ka-kou-RIZ'ki na mi YE-nou san ki i-SE-na	Slave to a bad one and don't become like them	Avoid bad influences
66	Από Μαρτιού ποκάμισο κι απ' Αύγουστο σεγκούνα	Apo Mar-ti-OU po-KA-mi-so ki ap Av-gou-sto sen-GOU-na	From March a shirt and from August a vest	Appropriate clothing for seasons
67	Όποιος προσκυνώντας κλαίει, μόνον ταις μετάνοιαις χάνει	O-pi-os pro-sku-NON-tas klé-i, MO-non tais me-TA-no-ias CHA-ni	Whoever cries while praying, loses only his prayers	Expressing sorrow while praying is ineffective
69	Άλλα ο γάϊδαρος και άλλα ο γαϊδουριάρης	A-la o GAI-da-ros kai A-la o gai-dou-RI-a-ris	One thing is for the donkey and another for the driver	Difference between person and controller
70	Στου ξένου του σπίτ' δεμ προυστάξν	Stou XE-nou tou SPIT' dem prous-TA-xn	Don’t meddle in other people’s business	Mind your own affairs
71	Έπιασε η γάτα το ποντίκι	E-PIA-se i GA-ta to pon-TI-ki	The cat caught the mouse	Justice served or trouble caught
72	Πέθανι απου του κακό τ	PE-tha-ni a-pou tou ka-KO t	Even the devil would be sorry for the wicked	Extreme wickedness provokes pity
73	Δεν έχει ο Θεός άλλα τόσα ψωμιά να δώσει	Den E-chi o The-os A-la TO-sa Pso-MI-a na DO-si	God doesn’t have that many breads to give	There’s a limit to what can be expected
74	Όποιος δεν έχει μυαλό έχει πόδια	O-pee-os then EE-he mee-a-LO EE-he PO-thia	He who lacks brains has legs	Reliance on effort if lacking sense
75	Άμα είσαι καλός και όμορφος, σε θέλουν κι οι πεταλούδες	Ama EE-se ka-LOS ki O-mor-fos, se THE-loun ki oi pe-ta-LOU-des	If you are good and beautiful, even butterflies want you	Goodness and beauty attract
76	Το μέλλον φαίνεται από το πρωί	To ME-lon fa-NE-te ap-TO pro-EE	The future is seen from the morning	Early signs predict the future
77	Δεν είναι όλα τα πουλιά που πετούν αηδόνια	Then EE-ne O-la ta POO-lia pou pe-TOUN e-THO-nia	Not all flying birds are nightingales	Not everything that looks good is good
78	Η γλώσσα κόκαλα δεν έχει αλλά κόκαλα τσακίζει	Ee GLO-sa KO-ka-la then EE-hee alla KO-ka-la tsa-KEE-zee	The tongue has no bones but breaks bones	Words can hurt deeply
79	Η πολλή δουλειά τρώει τον αφέντη	Ee POL-lee dou-LEE-a TRO-ee ton a-FEN-tee	Too much work consumes the master	Overwork wears down leadership
80	Όποιος βιάζεται σκοντάφτει	O-pee-os VEE-a-ze-te skon-DAF-tee	He who rushes stumbles	Hurrying causes failure
81	Τα πολλά λόγια είναι φτώχεια	Ta POL-la LO-ghia EE-ne fTO-hee-a	Many words mean poverty	Excessive talk shows weakness
82	Ο καλός ο καπετάνιος στη φουρτούνα φαίνεται	O ka-LOS o ka-pe-TA-nios sti four-TOO-na fa-NE-te	The good captain is known in a storm	True worth shows under pressure
83	Όποιος σπέρνει ανέμους, θερίζει θύελλες	O-pee-os SPER-nee a-NE-mous the-REE-zee THEF-eles	He who sows winds reaps storms	Reckless acts bring trouble
84	Όλα διορθώνονται μονάχα του σπανού τα γένια	OH-la thee-or-THO-no-neh MO-naha too spa-NOO ta YEH-nya	Everything can be fixed except a mule's ears	Some things can’t be changed
85	Όπου ακούς πολλά κεράσια, κράτα μικρό καλάθι	O-pou a-KO-ees POL-la ke-RA-sia, KRA-ta mee-KRO ka-LA-thee	Where you hear many cherries, keep a small basket	Be skeptical of too many promises
86	Μάτια που δεν βλέπονται, γρήγορα λησμονιούνται	MA-tee-a pou then VLE-pon-te GREE-go-ra lees-mo-nee-OON-te	Out of sight, out of mind	Absence weakens feelings
87	Το μήλο κάτω από τη μηλιά θα πέσει	To MEE-lo KA-to a-po tee mee-LIA tha PE-see	The apple falls under the apple tree	Children resemble parents
88	Κάθε κατεργάρης στον πάγκο του	KAH-the ka-ter-GA-ris ston PAG-ko tou	Every trickster at his own bench	Everyone responsible for their actions
89	Λάθος που δεν επαναλαμβάνεται δεν είναι λάθος	LA-thos pou then e-pa-na-LAM-va-ne-te then EE-ne LA-thos	A mistake not repeated is not a mistake	Learning from mistakes
90	Η γλώσσα κόκαλα δεν έχει και κόκαλα τσακίζει	Ee GLO-sa KO-ka-la then EE-hee kai KO-ka-la tsa-KEE-zee	The tongue has no bones but breaks bones	Words can be harmful
91	Όποιος δεν έχει μυαλό έχει πόδια	O-pee-os then EE-he mee-a-LO EE-he PO-thia	He who has no brains has legs	Reliance on effort if lacking sense
92	Κάλλιο αργά παρά ποτέ	KA-lee-o ar-GA pa-RA po-TE	Better late than never	Better to do late than never
93	Όποιος βιάζεται σκοντάφτει	O-pee-os VEE-a-ze-te skon-DAF-tee	He who rushes stumbles	Hurrying leads to mistakes
94	Όσα δεν φτάνει η αλεπού τα κάνει κρεμαστάρια	O-sa then FTAN-ee ee a-le-POO ta KA-nee kre-MAS-ta-ria	What the fox can’t reach, it calls hanging fruit	People disparage what they cannot have
95	Αρχή άνδρα δείκνυσι	Ar-KHEE AN-dra THEEK-nee-see	The beginning shows the man	First impression reveals character
96	Τα αγαθά κόποις κτώνται	Ta a-GA-tha KO-pees KTON-te	Good things are acquired by effort	Hard work brings rewards
97	Δεν είναι όλα τα πουλιά που πετούν αηδόνια	Then EE-ne O-la ta POO-lia pou pe-TOUN e-THO-nia	Not all flying birds are nightingales	Not everything that looks good is good
98	Η καλή μέρα από το πρωί φαίνεται	Ee ka-LEE ME-ra a-PO to pro-EE fa-NE-te	A good day starts in the morning	Early signs predict success
99	Κάθε κατεργάρης στον πάγκο του	KAH-the ka-ter-GA-ris ston PAG-ko tou	Every troublemaker at his own bench	Everyone responsible for their actions
100	Όποιος σπέρνει ανέμους θερίζει θύελλες	O-pee-os SPER-nee a-NE-mous the-REE-zee THEF-eles	He who sows winds reaps storms	Reckless actions lead to disaster
101	Το μήλο κάτω από τη μηλιά θα πέσει	To MEE-lo KA-to a-po tee mee-LIA tha PE-see	The apple falls under the apple tree	Children resemble parents
102	Η γλώσσα κόκαλα δεν έχει και κόκαλα τσακίζει	Ee GLO-sa KO-ka-la then EE-hee kai KO-ka-la tsa-KEE-zee	The tongue has no bones but breaks bones	Words can be very hurtful
103	Στου κουφού την πόρτα όσο θέλεις βρόντα	Stoo koo-FOO teen POR-ta O-so THE-lees VRON-da	At the deaf man’s door knock as much as you want	It’s pointless to reason with someone who won’t listen
104	Μάτια που δεν βλέπονται, γρήγορα λησμονιούνται	MA-tee-a pou then VLE-pon-te GREE-go-ra lees-mo-nee-OON-te	Out of sight, out of mind	Absence weakens feelings
105	Η καλή σκυλίτσα κάνει τα καλά αφεντικά	Ee ka-LEE skee-LEE-tsa KA-nee ta KA-la a-fen-TEE-ka	A good dog makes good masters	People reflect the quality of their companions
106	Ο χρόνος γι’ όλα τα γιατρικά	O HRO-nos yee O-la ta ya-TRI-ka	Time is a remedy for everything	Time heals all wounds
107	Λάθος που δεν επαναλαμβάνεται δεν είναι λάθος	LA-thos pou then e-pa-na-LAM-va-ne-te then EE-ne LA-thos	A mistake not repeated is not a mistake	Learning from mistakes
108	Όποιος δεν έχει μυαλό, έχει πόδια	O-pee-os then EE-he mee-a-LO EE-he PO-thia	He who has no brains has legs	Reliance on effort when lacking sense
109	Χώμα που το πατάς, το αίμα σου το ποτίζεις	HO-ma pou to pa-TAHS, to A-ma sou to po-TEE-zees	The soil you walk on, you water with your blood	Loyalty to homeland
110	Κάλλιο πέντε και στο χέρι παρά δέκα και καρτέρει	KA-lyo PEN-de kai sto KHE-ri pa-ra THE-ka kai kar-TE-ree	Better five in the hand than ten waiting	Better small sure than large uncertain
111	Όπου ακούς πολλά κεράσια, κράτα μικρό καλάθι	O-pou a-KO-ees POL-la ke-RA-sia, KRA-ta mee-KRO ka-LA-thee	Where you hear many cherries, keep a small basket	Be cautious of too many promises
112	Όποιος σπέρνει ανέμους, θερίζει θύελλες	O-pee-os SPER-nee a-NE-mous, the-REE-zee THE-ye-les	He who sows winds, reaps storms	Reckless actions lead to disaster
113	Το καλό το παλικάρι στον πόλεμο φαίνεται	To ka-LO to pa-LEE-ka-ree ston PO-le-mo fa-NE-te	A good young man is shown in war	True character revealed in challenge
114	Όποιος θέλει το καλό του, κάνει το κακό του	O-pee-os THE-lee to ka-LO tou, KAH-nee to ka-KO tou	He who wants his good does his bad	People sometimes harm themselves
115	Μια σταγόνα θάλασσα κάνει το βράχο να λειώσει	Mia sta-GO-na THA-la-ssa KA-ni to VRA-ho na lee-O-see	A drop of sea makes the rock dissolve	Persistence overcomes obstacles
116	Μην τα βάζεις με τα πουλιά, αν δεν πετάς	Min ta VA-zees me ta poo-LYA, an den PE-tas	Don’t fight with birds if you can’t fly	Don’t pick fights you can’t win
117	Απ' όπου κι αν τον 'γκίσης τα χέρια σου θα χρείσης	Ap' opou ki an ton 'gkisis ta CHER-ia sou tha chre-ISIS	Wherever you touch him you will need your hands	Some problems require hands-on effort
118	Σου πολιτεχνα το σπίτι συφορά και καταδίκη	Sou po-li-TECH-na to SPI-ti si-FO-ra kai ka-ta-DI-ki	Building your house near police station invites trouble	Choose environment carefully
119	Πουθι κρατάει η σκούφια τ'	Pou-thi kra-TA-i i SKOU-fi-a t'	Where the cap fits, wear it	Accept responsibility
120	Σου λείπ' μάννα, δε σου λείπ' λανγκιόλ'	Sou LEIP' MAN-na, de sou LEIP' lan-GI-ol'	You lack mother but not stepmother	Sometimes burdened by harshness
121	Δούλιυέ μι κακουρίζ'κι να μη γένου σαν κι ισένα	Dou-LEE-e mi ka-kou-RIZ'ki na mi YE-nou san ki i-SE-na	Slave to a bad one and don't become like them	Avoid bad influences
122	Από Μαρτιού ποκάμισο κι απ' Αύγουστο σεγκούνα	Apo Mar-ti-OU po-KA-mi-so ki ap Av-gou-sto sen-GOU-na	From March a shirt and from August a vest	Dress appropriately for seasons
123	Όποιος προσκυνώντας κλαίει, μόνον ταις μετάνοιαις χάνει	O-pi-os pro-sku-NON-tas klé-i, MO-non tais me-TA-no-ias CHA-ni	Whoever cries while praying, loses only his prayers	Expressing sorrow while praying is ineffective
124	Άλλα ο γάϊδαρος και άλλα ο γαϊδουριάρης	A-la o GAI-da-ros kai A-la o gai-dou-RI-a-ris	One thing is for the donkey and another for the driver	Difference between person and controller
